Sno,Name,Youtuber,Country,Subscribers,Category_2,Avg_views,Avg_likes,Avg_Comments,Category_3
230,Charlie Puth,CharliesVlogs,United States,21000000.0,Music & Dance,615300.0,59800.0,2200.0,,
231,5-Minute Crafts DIY,5-Minute Crafts DIY,India,20900000.0,Music & Dance,18300.0,303.0,9.0,Humor,
232,D Billions,D Billions,,20900000.0,,1000000.0,1200.0,0.0,,
233,Baim Paula,Baim Paula,Indonesia,20900000.0,Music & Dance,642400.0,27100.0,2100.0,Movies,
234,Goldmines Cineplex,Goldmines Cineplex,India,20800000.0,,6400.0,84.0,3.0,,
235,Canal Canalha,CanalCanalha,Brazil,20700000.0,Sports,1200000.0,146900.0,4100.0,,
236,Kids TV - Nursery Rhymes And Baby Songs,Kids TV - Nursery Rhymes And Baby Songs,,20700000.0,Toys,122400.0,379.0,0.0,,
237,National Geographic,NationalGeographic,United States,20500000.0,,40300.0,1600.0,57.0,,
238,Disney Latinoamérica,DisneyChannelLA,,20500000.0,,22100.0,129.0,0.0,,
239,Brave Wilderness,Brave Wilderness,United States,20500000.0,,1600000.0,32200.000000000004,3100.0,,
240,Family GamesTV,Family GamesTV,,20500000.0,,9600.0,0.0,0.0,,
241,StarPlus,starplus,India,20500000.0,,260900.0,5600.0,69.0,,
242,Ultra Movie Parlour,UltraMovieParlour,India,20300000.0,,40700.0,910.0,15.0,,
243,BuzzFeedVideo,BuzzFeedVideo,United States,20300000.0,Food & Drinks,33100.0,824.0,23.0,,
244,AuthenticGames,AuthenticGames,Brazil,20200000.0,Movies,26400.0,2000.0,114.0,Video games,
245,Rotana,RotanaAudio,Saudi Arabia,20100000.0,Music & Dance,153800.0,7200.0,172.0,,
246,LazarBeam,LazarBeam,United States,20100000.0,Animation,0.0,0.0,0.0,Video games,
247,shfa show India,shfa show India,,20100000.0,Daily vlogs,1200000.0,9400.0,0.0,,
248,SlivkiShow,SlivkiChanel,Russia,20100000.0,Video games,2800000.0,195900.0,21900.0,,
249,5-Minute Crafts PLAY,5-Minute Crafts PLAY,India,20100000.0,,79700.0,297.0,14.0,,
250,REACT,TheFineBros,United States,20100000.0,Humor,137500.0,5400.0,400.0,,
251,Vevo,VEVO,United States,20100000.0,Music & Dance,11500.0,415.0,5.0,,
252,HaerteTest,HaerteTest,India,20000000.0,,23400.0,151.0,32.0,,
253,LankyBox,LankyBox,United States,20000000.0,Video games,438000.0,6600.0,360.0,,
254,Lyrical Lemonade,GooodLifeFilms,United States,19900000.0,,2900000.0,60200.0,2900.0,,
255,Tlnovelas,TelenovelaTelevisa,Mexico,19900000.0,,11800.0,282.0,8.0,,
256,Mnet K-POP,Mnet,United States,19900000.0,Music & Dance,9500.0,900.0,33.0,Animation,
257,Pencilmation,rossbollinger,United States,19900000.0,Animation,172900.0,2500.0,76.0,Humor,
258,Totoy kids - Português,Totoy kids - Português,,19900000.0,Animation,872400.0,4600.0,0.0,,
259,Vlad and Niki Arabic,Vlad and Niki Arabic,,19900000.0,,975300.0,6500.0,0.0,,
260,toyorbabytv,toyorbabytv,,19800000.0,Music & Dance,157300.0,0.0,0.0,,
261,Pentatonix,PTXofficial,United States,19700000.0,Music & Dance,120300.0,5700.0,103.0,,
262,Dr. Vivek Bindra: Motivational Speaker,MrVivekBindra,India,19700000.0,Education,172900.0,9400.0,608.0,,
263,Romeo Santos,romeo,United States,19700000.0,Music & Dance,837100.0,38100.0,1600.0,,
264,Marvel Entertainment,MARVEL,United States,19700000.0,Movies,299400.0,12100.0,786.0,Animation,
265,Noor Stars,Noor Stars,Iraq,19600000.0,Movies,1300000.0,131100.0,6500.0,Humor,
266,Got Talent Global,gottalentglobal,United States,19500000.0,,127000.0,1400.0,57.0,,
267,★ Kids Roma Show,★ Kids Roma Show,,19500000.0,Animation,1300000.0,8300.0,0.0,Toys,
268,Gordon Ramsay,gordonramsay,United States,19500000.0,Food & Drinks,153800.0,3900.0,320.0,Health & Self Help,
